state_id,weight,top1_token_id_audit_only,top1_probability,entropy,top1_top2_margin,top1_differs_from_w1,w1_top_token_rank,w1_top_token_probability_change,top1_logprob_margin_change_vs_w1
f60_a3_p00_s02,1.0,398,0.5584805607795715,1.4277838468551636,0.371412992477417,0.0,0,2.5033950805664062e-06,0.0
f60_a3_p00_s03,0.0,833,0.999961256980896,0.00053589534945786,0.99995356798172,0.0,0,4.38690185546875e-05,0.328125
f60_a3_p00_s03,0.25,833,0.99996018409729,0.0005548572517000139,0.9999534487724304,0.0,0,4.291534423828125e-05,0.4628915786743164
f60_a3_p00_s03,0.5,833,0.9999545812606812,0.0006407165783457458,0.9999467134475708,0.0,0,3.713369369506836e-05,0.30859375
f60_a3_p00_s03,0.75,833,0.9999423027038574,0.0008164574392139912,0.999933123588562,0.0,0,2.4974346160888672e-05,0.154296875
f60_a3_p00_s03,1.0,833,0.9999173879623413,0.0011648971121758223,0.9999067187309265,0.0,0,-1.1920928955078125e-07,0.0
f60_a3_p00_s04,0.0,11773,0.22613877058029175,3.258246421813965,0.031194955110549927,1.0,1,0.0512164831161499,-0.07812488079071045
f60_a3_p00_s04,0.25,11773,0.2007838785648346,3.3906805515289307,0.010685533285140991,1.0,1,0.046371474862098694,-0.17187488079071045
f60_a3_p00_s04,0.5,350,0.1793593168258667,3.546665906906128,0.006871119141578674,0.0,0,0.03563256561756134,-0.1875
f60_a3_p00_s04,0.75,350,0.16360126435756683,3.702932357788086,0.02034720778465271,0.0,0,0.019874170422554016,-0.09374988079071045
f60_a3_p00_s04,1.0,350,0.1437312513589859,3.8449573516845703,0.02913869172334671,0.0,0,3.1888484954833984e-06,0.0
f60_a4_p00_s00,0.0,13,0.47410011291503906,3.3632869720458984,0.4179175794124603,1.0,4,-0.022937292233109474,2.1328125
f60_a4_p00_s00,0.25,13,0.14191678166389465,4.9947943687438965,0.09041744470596313,1.0,3,-0.0038099177181720734,1.013671875
f60_a4_p00_s00,0.5,2266,0.05332067981362343,5.35785436630249,0.0016405098140239716,1.0,2,0.0017612539231777191,0.03125
f60_a4_p00_s00,0.75,2266,0.050012435764074326,5.412753582000732,0.0031217746436595917,1.0,1,0.0017794817686080933,0.064453125
f60_a4_p00_s00,1.0,450,0.0451112762093544,5.437716960906982,0.0,0.0,0,3.3527612686157227e-08,0.0
f60_a4_p00_s01,0.0,304,0.8578774333000183,0.7323561906814575,0.827113687992096,0.0,0,0.2122281789779663,1.4531248807907104
f60_a4_p00_s01,0.25,304,0.8196685910224915,0.8772929310798645,0.7778919339179993,0.0,0,0.17401927709579468,1.1015626192092896
f60_a4_p00_s01,0.5,304,0.7718436121940613,1.0477585792541504,0.7150509357452393,0.0,0,0.12620234489440918,0.7343748807907104
f60_a4_p00_s01,0.75,304,0.7137930393218994,1.2393009662628174,0.6379697322845459,0.0,0,0.0681503415107727,0.36718738079071045
f60_a4_p00_s01,1.0,304,0.6456596851348877,1.4455286264419556,0.5466445684432983,0.0,0,1.519918441772461e-05,0.0
f60_a4_p00_s02,0.0,398,0.7064100503921509,0.8988410830497742,0.47346073389053345,0.0,0,0.1529374122619629,0.078125
f60_a4_p00_s02,0.25,398,0.6930391788482666,0.9812900424003601,0.4758148789405823,0.0,0,0.1395685076713562,0.12890613079071045
f60_a4_p00_s02,0.5,398,0.6662689447402954,1.098960518836975,0.46777552366256714,0.0,0,0.11280184984207153,0.1796875
f60_a4_p00_s02,0.75,398,0.6211910247802734,1.2458701133728027,0.4452902674674988,0.0,0,0.06772083044052124,0.23046875
f60_a4_p00_s02,1.0,398,0.5534753799438477,1.40574049949646,0.35612767934799194,0.0,0,2.9206275939941406e-06,0.0
f60_a4_p00_s03,0.0,309,0.9571415781974792,0.2940234839916229,0.9420291781425476,0.0,0,-0.020737111568450928,-1.53125
f60_a4_p00_s03,0.25,309,0.9664645791053772,0.2405225783586502,0.9560584425926208,0.0,0,-0.011413872241973877,-1.1484379768371582
f60_a4_p00_s03,0.5,309,0.9723000526428223,0.20803916454315186,0.9651608467102051,0.0,0,-0.005578577518463135,-0.765625
f60_a4_p00_s03,0.75,309,0.9759125709533691,0.1879107803106308,0.9710259437561035,0.0,0,-0.001965761184692383,-0.3828120231628418
f60_a4_p00_s03,1.0,309,0.9778785705566406,0.17702101171016693,0.9745394587516785,0.0,0,-5.960464477539063e-08,0.0
f60_a4_p00_s04,0.0,1771,0.6369948983192444,1.6989619731903076,0.5075815320014954,0.0,0,0.25636470317840576,0.671875
f60_a4_p00_s04,0.25,1771,0.58412766456604,1.917514443397522,0.44374972581863403,0.0,0,0.20350152254104614,0.50390625
f60_a4_p00_s04,0.5,1771,0.5214871168136597,2.1861705780029297,0.37324124574661255,0.0,0,0.14086180925369263,0.3359375
f60_a4_p00_s04,0.75,1771,0.4527597725391388,2.4789373874664307,0.3005106747150421,0.0,0,0.07213333249092102,0.16796875
