ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
0.145,0.06,0,0.105,fixed_beta_10,lexicon_sentiment_success,200,negative,0.30655342111938666
8.360680329203605,6.973419992923737,0,7.5870929127931594,fixed_beta_10,base_lm_perplexity,200,negative,5.103636736865707
0.34614616279592947,0.3287191059275304,0,0.337584299777934,fixed_beta_10,fluency,200,negative,0.060778128610817356
0.5495254417150544,0.5223324292609435,0,0.535924533250342,fixed_beta_10,coherence,200,negative,0.10259201037792624
0.2913373971332156,0.24752479381484147,0,0.2701563791519003,fixed_beta_10,repeated_unigram_rate,200,negative,0.16657876904161031
0.14703599256742161,0.10329652545492912,0,0.12573267998510043,fixed_beta_10,repeated_bigram_rate,200,negative,0.1644803756185853
0.10152448620009323,0.06277198890192028,0,0.08251925104623113,fixed_beta_10,repeated_trigram_rate,200,negative,0.14845682429907364
0.73953716470415,0.689230410020099,0,0.7148436208480985,fixed_beta_10,distinct_1,200,negative,0.18552303070201592
0.880058903215287,0.8270327918340837,0,0.8542673200148994,fixed_beta_10,distinct_2,200,negative,0.2040207998323379
0.9217594519780096,0.8703647296147463,0,0.8974807489537683,fixed_beta_10,distinct_3,200,negative,0.1958026012062066
31.69,30.46,0,31.115,fixed_beta_10,generation_length,200,negative,4.396791443768968
0.0,0.0,0,0.0,fixed_beta_10,eos_rate,200,negative,0.0
0.031373047667276256,0.02911389796453902,0,0.03020917203959211,fixed_beta_10,latency_per_token,200,negative,0.008330826942592429
0.9806992996967164,0.8967195603559958,0,0.9375730356643908,fixed_beta_10,total_latency,200,negative,0.28906500399646146
0.73,0.6,0,0.665,fixed_beta_15,target_sentiment_success,200,negative,0.4719904660054057
0.7267140006038244,0.5995737715580617,0,0.6622764877777081,fixed_beta_15,independent_sentiment_score,200,negative,0.45686723514208527
0.73,0.6,0,0.665,fixed_beta_15,classifier_sentiment_success,200,negative,0.4719904660054057
0.7267140006038244,0.5995737715580617,0,0.6622764877777081,fixed_beta_15,classifier_target_probability,200,negative,0.45686723514208527
0.18,0.08,0,0.13,fixed_beta_15,lexicon_sentiment_score,200,negative,0.36482872693909396
0.19,0.09,0,0.14,fixed_beta_15,lexicon_sentiment_success,200,negative,0.34698703145794946
9.009473933577537,7.481922903060913,0,8.170892301797867,fixed_beta_15,base_lm_perplexity,200,negative,5.500487727720582
0.34147041330076,0.3236038134369864,0,0.33251472822680456,fixed_beta_15,fluency,200,negative,0.062534902650662
0.5407874513936544,0.5122600707078853,0,0.5272320103920364,fixed_beta_15,coherence,200,negative,0.10394378887645934
0.26942199195132205,0.22650893106338083,0,0.24759743942198092,fixed_beta_15,repeated_unigram_rate,200,negative,0.15099976632851492
0.12376331533298915,0.08459373178245133,0,0.10361876380902998,fixed_beta_15,repeated_bigram_rate,200,negative,0.14788159385894228
0.0829580030064076,0.048591678245053525,0,0.06540997669815111,fixed_beta_15,repeated_trigram_rate,200,negative,0.13231233488754635
0.7556606313790222,0.7065074369727402,0,0.7324025605780183,fixed_beta_15,distinct_1,200,negative,0.18026933143046509
0.8937061027758082,0.8361162130345492,0,0.8663812361909702,fixed_beta_15,distinct_2,200,negative,0.2115463069252672
0.9301662967099809,0.8759739621513276,0,0.9045900233018485,fixed_beta_15,distinct_3,200,negative,0.20659611652087062
