fusion,lambda,alpha,num_cases,mean_nll,mean_gradient,median_gradient,fraction_positive_gradient,mean_entropy,mean_max_probability,mean_logit_std
current,2.0,"0.50,0.50",4,5.36793977022171,2.003821983933449,2.3063195943832397,1.0,0.3106718137860298,0.8948591947555542,6.584407806396484
current,2.0,"0.75,0.25",4,5.062451243400574,1.855182722210884,1.9993667006492615,1.0,0.3201785087585449,0.8877138048410416,6.65091347694397
current,2.0,"1.00,0.00",4,4.791101157665253,1.7255374193191528,1.7107907831668854,1.0,0.31973857432603836,0.8854668289422989,6.705533742904663
normalized,0.0,"0.00,1.00",4,1.7428274154663086,0.7528593316674232,0.8250465393066406,0.75,1.2996971309185028,0.6764027327299118,2.406060576438904
normalized,0.0,"0.25,0.75",4,1.7368334233760834,0.6594431325793266,0.8805035352706909,0.75,1.293427050113678,0.6774020493030548,2.403689742088318
normalized,0.0,"0.50,0.50",4,1.7308394014835358,0.5402643084526062,0.7602332234382629,0.75,1.2871569395065308,0.6784013658761978,2.401318907737732
normalized,0.0,"0.75,0.25",4,1.7248454093933105,0.41244739294052124,0.4924625754356384,0.75,1.2808868288993835,0.6794006675481796,2.398948073387146
normalized,0.0,"1.00,0.00",4,1.718851387500763,0.2870497480034828,0.2408362179994583,0.5,1.2746167182922363,0.6803999990224838,2.39657723903656
normalized,0.001,"0.00,1.00",4,1.7435844838619232,0.7612146586179733,0.8336265683174133,0.75,1.2996695637702942,0.6764325201511383,2.405350983142853
normalized,0.001,"0.25,0.75",4,1.7374966740608215,0.6671576797962189,0.888817697763443,0.75,1.2934046983718872,0.6774243712425232,2.4030324816703796
normalized,0.001,"0.50,0.50",4,1.731383055448532,0.547246441245079,0.7692427039146423,0.75,1.2871305048465729,0.6784168630838394,2.4007121920585632
normalized,0.001,"0.75,0.25",4,1.725260853767395,0.4186594486236572,0.500851958990097,0.75,1.2808629274368286,0.6794090270996094,2.3983880281448364
normalized,0.001,"1.00,0.00",4,1.7191412448883057,0.29268084466457367,0.24862615764141083,0.5,1.2745883166790009,0.68040531873703,2.3960551619529724
normalized,0.01,"0.00,1.00",4,1.7507082223892212,0.8164434507489204,0.8908116221427917,0.75,1.299511581659317,0.6766843497753143,2.399061918258667
